Clef;Fix
AC Input;AC Input
AC line cord (EU) for power supply;AC input
AC line cord (US) for power supply;AC input
adapté pour;fits for
alimentation électrique;AC input
antenna;antenna
Auto-Host Detect - Keyboard Wedge;Auto-Host Detect - Keyboard Wedge
barcode support;barcode support
Base;base
Battery;battery
Bezel (blue & red) incl.;Bezel (blue & red) incl.
bloc d'alimentation (connexion;bloc d'alimentation (connexion
brightness;brightness
Cable;cable
CABLE - SHIELDED USB;cable type
Cable - USB;cable type
cable code;cable code
cable length;cable length
cable type;cable type
cigarette lighter) order separately;cigarette lighter) order separately
charges both devices;charges both devices
clavier (nn);clavier (nn)
closure;closure
color;color
colour Insertion;color
Colour;color
colour wristband;color
connecion;connection
connection;connection
connector;connection
contrast;contrast
contraste;contrast
coverage incl.;coverage incl.
couleur;color
counting rate;counting rate
country;country
CPU;CPU
CABLE - RS232;cable type
DC Output;DC Output
Cradle;Cradle
Description;description
dial strap length;dial strap length
diameter;diameter
diamètre;diameter
Dimensions;dimensions
dimensions (LxH);dimensions
contains;contains
dimensions (LxHxP);dimensions
colour tag;color
dimensions (W x H x D);dimensions
dimensions (WxHxD);dimensions
diamètre de rouleau (max.);medium width
dimensions(WxH);dimensions
disque dur;disque dur
droit. Code du câble;droit. Code du câble
drop-resistant;drop-resistant
capacity;capacity
duration;duration
connector (power supply;connector
emulation;emulation
émulation;emulation
épaisseur;thickness
external antennas;external antennas
Farbe;color
fist for;fits for
fit for;fits for
fits;fits for
fits for;fits for
fits fro;fits for
fixing clip;fixing clip
flash;flash
fots for;fits for
Hardness;hardness
hauteur;height
HDD;HDD
height;height
High;height
Holder;holder
hole-to-hole distance;hole-to-hole distance
illumination;illumination
imageur (illumination;illumination
incl;includes
incl.;includes
inclination max.;inclination max.
includes;includes
inclus;includes
indice de protection;protection class
Industrial Cable;industrial cable
inkl.;includes
Input;input
input voltage;input
interface;interface
interface tactile;interface tactile
label length;label length
label sensor;label sensor
LAN card;LAN card
largeur;width
largeur de médium (max.);medium width
largeur d'impression (max.);print width
Layout;layout
lenght;length
length;length
length (adjustable);length
lifetime;lifetime
locking;locking
logo print;logo print
longueur;length
longueur de câble;cable length
mandrin;mandrin
marche;marche
mark sensor;mark sensor
material;material
Max Media Width;medium width
max. label width;medium width
max. load capacity;load capacity
max. Mediawidth;medium width
max. roll diameter;medium width
max. roll width;medium width
max. supported weight;max weigth
media width (max.);medium width
minimum order quantity;order quantity
Mount plate;mounting
mounting;mounting
Mounting options;mounting
Mounting Plate;mounting
No. of monitors;No. of monitors
Notes;Notes
operating temperature;operating temperature
optional;optional
order  separately;order separately
order optionally;order separately
order separately;order separately
order separately (on demand);order separately
order separatly;order separately
order seperately;order separately
order seprarately;order separately
OS;OS
OS support;OS
output;output
output voltage;output
Overall Length;length
packaging unit;packaging unit
portée;range
portée radio;range
ports;ports
print;print
print width (max.);print width
printing color;printing color
protection class;protection class
quality paper (gp);quality paper (gp)
RAM;RAM
range;range
reading rate;reading rate
required;required
requires;required
resolution;resolution
résolution;resolution
roll diameter (max.);medium diameter
roll width;medium width
roll-width;medium width
scan rate;scan rate
security grade;security grade
size;size
speed;speed
speed (max.);speed
taille;size
term;term
terminal slots;terminal slots
to be ordered separately;order separately
total length;total length
track;track
tracks;track
trigger;trigger
type de câble;cable type
VESA;VESA
VESA mounting points;VESA mounting points
vibration;vibration
vitesse (max.);speed
weight;weight
width;width
width max;width
