SKU;longDescription;Categorie;sous_categorie;manufacturer;stock_disponible;minimum_order_quantity;prix_stm_HT;prix_public_HT
JP-70CT001-00;ramasse-monnaie, écran TFT, écran large, 16:9, 17,8 cm (7''), 800x480 pixels, braquette VESA (75x75 mm), luminosité, 350cd, angle de vue, 70/60° (H/V), contraste: 400:1, DVI, VGA, inclus: câble (VGA), bloc d'alimentation (UE), couleur: argent/noir;Moniteurs (tactiles);Non tactiles;GLANCETRON;131;1;151.2;188.55
JP-70CTU01-01;ramasse-monnaie, écran TFT, écran large, 16:9, 17,8 cm (7''), 800x480 pixels, braquette VESA (75x75 mm), luminosité, 350cd, angle de vue, 70/60° (H/V), contraste: 400:1, USB, inclus: câble (USB), couleur: argent/noir;Moniteurs (tactiles);Non tactiles;GLANCETRON;81;1;201.2;399.5
8045lock;Serrure de remplacement avec clé;Tiroirs-caisses;Ouverture vers l'avant;GLANCETRON;12;1;6.25;7.09
38001153009100 + 18070081007539 CHF;Insert pour le comptage de la monnaie, pour toutes les pièces en francs suisses, remplace le compartiment pour les pièces, pour tiroir-caisse Glancetron 8070, colour Insertion: white;Tiroirs-caisses;Ouverture vers l'avant;INKIESS;0;1;59.25;89.38
3 8001 03 100 91 99;Insert pour le comptage de la monnaie, pour toutes les pièces en euros, remplace le compartiment pour les pièces, pour tiroir-caisse Glancetron 8070;Tiroirs-caisses;Ouverture vers l'avant;INKIESS;0;1;90.72;114.2
JT-XXX 38001153009100 + 18070081007530;Insert pour le comptage de la monnaie, pour toutes les pièces en couronnes suédoises, remplace le compartiment pour les pièces, pour tiroir-caisse Glancetron 8070;Tiroirs-caisses;Ouverture vers l'avant;INKIESS;0;1;59.25;89.38
16400.247-0003;Connection cable, USB (USB-A/USB-B), length: 3 m, angled;Tiroirs-caisses;Ouverture vers le haut;ANKER;2;1;20.39;21.6
1741722;RAM, 8 GB, DDR4, SO-DIMM, 3200 MHz, fits for:  P5500, P4500, P1300, C1400;Systèmes points de vente;TPV intégrés;ADATA;32;1;39.59;50.0
01.911;Waiter lock with unique number, robust, color: white;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.912;Waiter lock with unique number, robust, color: brown;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.913;Waiter lock with unique number, robust, color: green;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.914;Waiter lock with unique number, robust, color: yellow;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.915;Waiter lock with unique number, robust, color: grey;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.916;Waiter lock with unique number, robust, color: orange;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.917;Waiter lock with unique number, robust, color: blue;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.918;Waiter lock with unique number, robust, color: Red;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.919;Waiter lock with unique number, robust, color: purple;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
01.920;Waiter lock with unique number, robust, color: black;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;14.88;21.0
06.214;serrure serveur, serrure stylet, USB (émulation RS232), inclus: câble (USB, longueur de câble: 1,4 m), commandez séparément: stylet serveur, couleur: noir;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;107.62;153.75
01.701;serrure serveur, serrure stylet (montage), RS232, inclus: câble (RS232, longueur de câble: 2 m), couleur: noir;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;98.88;141.25
06.114;serrure serveur, serrure stylet, USB (mode clavier), inclus: câble (USB, longueur de câble: 1,4 m), commandez séparément: stylet serveur, couleur: noir;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;108.64;153.75
01.975;serrure serveur, serrure stylet (montage), USB (mode clavier), inclus: câble (USB, longueur de câble: 0.9 m), couleur: noir;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;107.62;153.75
06.205;serrure serveur, serrure stylet, USB (émulation RS232), inclus: câble (USB, longueur de câble: 0,5 m), commandez séparément: stylet serveur, couleur: noir;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;107.62;153.75
06.105;serrure serveur, serrure stylet, USB (mode clavier), inclus: câble (USB, longueur de câble: 0,5 m), commandez séparément: stylet serveur, couleur: noir;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;107.62;153.75
65.001;Numbering sheet with the numbers 1 to 10 for Addimat waiter pen;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;3.15;4.5
65.011;Numbering sheet with the numbers 11 to 20 for Addimat waiter pen;Technologie d'identification;ID magnétiques/DALLAS;ADDIMAT;0;1;3.15;4.5
